,RMSD,MCQ,TM-score
normalized_best_rp14_bound_16.pdb,11.881,20.27,0.29
normalized_best_rp14_bound_20.pdb,11.965,22.06,0.301
normalized_best_rp14_bound_32.pdb,12.147,23.24,0.321
normalized_mcsym_rp14_bound_1.pdb,12.236,35.68,0.229
normalized_3drna_rp14_bound_3.pdb,12.392,31.76,0.198
normalized_best_rp14_bound_59.pdb,12.431,21.76,0.287
normalized_best_rp14_bound_22.pdb,12.431,21.76,0.287
normalized_best_rp14_bound_27.pdb,12.52,22.01,0.293
normalized_best_rp14_bound_7.pdb,12.52,22.01,0.293
normalized_best_rp14_bound_19.pdb,12.705,25.83,0.307
normalized_best_rp14_bound_49.pdb,12.867,24.79,0.199
normalized_best_rp14_bound_60.pdb,12.879,21.11,0.265
normalized_best_rp14_bound_47.pdb,12.989,22.46,0.219
normalized_best_rp14_bound_4.pdb,13.022,23.58,0.242
normalized_best_rp14_bound_6.pdb,13.195,21.43,0.293
normalized_isrna_rp14_bound.pdb,13.497,18.55,0.233
normalized_best_rp14_bound_2.pdb,13.92,25.21,0.264
normalized_best_rp14_bound_35.pdb,13.998,24.17,0.231
normalized_best_rp14_bound_64.pdb,14.029,21.13,0.29
normalized_mcsym_rp14_bound_3.pdb,14.032,35.43,0.208
normalized_best_rp14_bound_62.pdb,14.037,21.12,0.298
normalized_best_rp14_bound_42.pdb,14.088,21.34,0.314
normalized_best_rp14_bound_31.pdb,14.255,23.79,0.265
normalized_rnajp_rp14_bound.pdb,14.478,23.6,0.234
normalized_best_rp14_bound_9.pdb,14.501,24.3,0.271
normalized_best_rp14_bound_13.pdb,14.589,18.87,0.262
normalized_3drna_rp14_bound_2.pdb,14.607,32.82,0.172
normalized_best_rp14_bound_14.pdb,14.653,22.54,0.261
normalized_mcsym_rp14_bound_4.pdb,14.655,36.74,0.21
normalized_best_rp14_bound_26.pdb,14.81,20.9,0.342
normalized_best_rp14_bound_8.pdb,15.158,15.43,0.355
normalized_3drna_rp14_bound_1.pdb,15.188,26.76,0.321
normalized_best_rp14_bound_34.pdb,15.194,22.42,0.325
normalized_mcsym_rp14_bound_5.pdb,15.375,35.42,0.182
normalized_best_rp14_bound_54.pdb,15.394,23.49,0.245
normalized_best_rp14_bound_36.pdb,15.429,23.87,0.212
normalized_best_rp14_bound_30.pdb,15.45,28.58,0.2
normalized_best_rp14_bound_10.pdb,15.468,23.04,0.224
normalized_best_rp14_bound_58.pdb,15.627,24.5,0.21
normalized_mcsym_rp14_bound_2.pdb,15.725,36.63,0.232
normalized_best_rp14_bound_11.pdb,15.809,22.21,0.246
normalized_best_rp14_bound_12.pdb,15.809,22.21,0.246
normalized_best_rp14_bound_44.pdb,15.811,19.76,0.345
normalized_best_rp14_bound_48.pdb,15.968,23.93,0.236
normalized_best_rp14_bound_3.pdb,16.074,16.47,0.363
normalized_best_rp14_bound_28.pdb,16.141,27.02,0.195
normalized_best_rp14_bound_1.pdb,16.256,18.83,0.293
normalized_vfold_rp14_bound.pdb,16.349,24.52,0.225
normalized_rnacomposer_rp14_bound.pdb,16.466,18.42,0.305
normalized_best_rp14_bound_15.pdb,16.665,22.22,0.242
normalized_best_rp14_bound_5.pdb,16.7,20.1,0.349
normalized_best_rp14_bound_18.pdb,16.917,23.91,0.297
normalized_3drna_rp14_bound_4.pdb,17.324,31.15,0.181
normalized_best_rp14_bound_56.pdb,17.385,21.58,0.278
normalized_best_rp14_bound_53.pdb,17.47,23.13,0.24
normalized_3drna_rp14_bound.pdb,18.312,33.46,0.199
normalized_3drna_rp14_bound_5.pdb,18.956,34.14,0.219
normalized_ifoldrna_rp14_bound_3.pdb,19.679,33.08,0.142
normalized_ifoldrna_rp14_bound_1.pdb,21.173,30.3,0.135
normalized_ifoldrna_rp14_bound_4.pdb,21.482,33.42,0.137
normalized_eprna_rp14_bound.pdb,22.293,94.82,0.127
normalized_ifoldrna_rp14_bound_2.pdb,23.676,32.26,0.112
normalized_ifoldrna_rp14_bound_5.pdb,32.762,32.15,0.137
normalized_simrna_rp14_bound.pdb,48.416,49.07,0.09
