,RMSD,MCQ,TM-score
normalized_best_rp21_71.pdb,10.846,29.17,0.162
normalized_trrosettarna_rp21_5.pdb,11.391,52.53,0.118
normalized_trrosettarna_rp21_4.pdb,11.403,55.55,0.136
normalized_3drna_rp21_3.pdb,11.66,28.75,0.548
normalized_best_rp21_62.pdb,11.716,30.7,0.181
normalized_3drna_rp21_4.pdb,11.855,27.95,0.522
normalized_best_rp21_65.pdb,12.055,31.03,0.219
normalized_best_rp21_63.pdb,12.088,45.95,0.179
normalized_best_rp21_48.pdb,12.145,32.41,0.229
normalized_best_rp21_11.pdb,12.233,37.69,0.187
normalized_best_rp21_84.pdb,12.233,37.69,0.187
normalized_best_rp21_64.pdb,12.284,44.57,0.152
normalized_best_rp21_66.pdb,12.405,52.53,0.19
normalized_best_rp21_79.pdb,13.021,37.73,0.187
normalized_best_rp21_31.pdb,13.021,37.73,0.187
normalized_eprna_rp21.pdb,13.065,84.15,0.129
normalized_best_rp21_68.pdb,13.287,35.33,0.237
normalized_best_rp21_57.pdb,13.287,35.33,0.237
normalized_3drna_rp21.pdb,13.381,31.73,0.25
normalized_best_rp21_22.pdb,14.167,38.58,0.166
normalized_best_rp21_38.pdb,14.167,38.58,0.166
normalized_best_rp21_5.pdb,14.167,38.58,0.166
normalized_best_rp21_56.pdb,14.167,38.58,0.166
normalized_best_rp21_70.pdb,14.52,29.96,0.195
normalized_best_rp21_36.pdb,14.598,36.88,0.142
normalized_best_rp21_45.pdb,14.598,36.88,0.142
normalized_best_rp21_21.pdb,14.598,36.88,0.142
normalized_best_rp21_29.pdb,14.598,36.88,0.142
normalized_best_rp21_9.pdb,14.629,35.12,0.208
normalized_best_rp21_92.pdb,14.629,35.12,0.208
normalized_best_rp21_26.pdb,16.051,31.59,0.226
normalized_best_rp21_30.pdb,16.226,27.7,0.21
normalized_best_rp21_12.pdb,16.976,28.95,0.215
normalized_best_rp21_27.pdb,17.039,31.93,0.187
normalized_best_rp21_77.pdb,17.039,31.93,0.187
normalized_rnajp_rp21.pdb,17.13,28.41,0.17
normalized_best_rp21_73.pdb,17.488,39.56,0.237
normalized_vfold_rp21.pdb,17.624,34.02,0.181
normalized_best_rp21_91.pdb,17.665,28.74,0.205
normalized_best_rp21_17.pdb,17.806,27.77,0.197
normalized_best_rp21_32.pdb,17.919,31.37,0.207
normalized_best_rp21_88.pdb,18.027,29.52,0.212
normalized_best_rp21_15.pdb,18.049,28.37,0.203
normalized_best_rp21_76.pdb,18.089,40.66,0.189
normalized_best_rp21_1.pdb,18.109,32.47,0.213
normalized_best_rp21_16.pdb,18.206,28.49,0.166
normalized_best_rp21_86.pdb,18.206,28.49,0.166
normalized_best_rp21_10.pdb,18.207,29.29,0.197
normalized_ifoldrna_rp21_4.pdb,19.217,36.74,0.179
normalized_ifoldrna_rp21_5.pdb,19.639,34.59,0.128
normalized_rnacomposer_rp21.pdb,20.368,33.32,0.21
normalized_isrna_rp21.pdb,20.62,29.06,0.206
normalized_vfoldpipeline_rp21.pdb,20.792,27.09,0.198
normalized_best_rp21_37.pdb,21.492,31.87,0.182
normalized_ifoldrna_rp21_3.pdb,21.994,36.17,0.189
normalized_ifoldrna_rp21_2.pdb,22.763,35.5,0.141
normalized_ifoldrna_rp21_1.pdb,23.851,36.28,0.18
